Data operacji,Opis,Kwota transakcji,Saldo po operacji
2015-01-02,PRZELEW UZNANIOWY (NADANO 02-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  BARTUŒ TESTOWSKI  WOJSKA CZESKIEGO 43 BRNO 74962478794000264223261662,128,1872.00
2015-01-04,PRZELEW UZNANIOWY (NADANO 04-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 30400151712280809598678381,64,1808.00
2015-01-06,PRZELEW UZNANIOWY (NADANO 06-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 68616458961064147545488930,64,1744.00
2015-01-06,PRZELEW UZNANIOWY (NADANO 06-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  BARTUŒ TESTOWSKI  WOJSKA CZESKIEGO 43 BRNO 79508411342526316937264643,16,1728.00
2015-01-07,PRZELEW UZNANIOWY (NADANO 07-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  PAWE£ NOWAK  WOJSKA CZESKIEGO 43 BRNO 45432364350784968754811291,64,1664.00
2015-01-08,PRZELEW OBCI¥¯ENIOWY (NADANO 08-01-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 75017166089478830434959736,-341,2005.00
2015-01-10,PRZELEW UZNANIOWY (NADANO 10-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  £UKASZ NOWAK  WOJSKA CZESKIEGO 43 BRNO 53861458099487078814562830,64,1941.00
2015-01-12,PRZELEW OBCI¥¯ENIOWY (NADANO 12-01-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 28571387840482785185599598,-669,2610.00
2015-01-14,PRZELEW UZNANIOWY (NADANO 14-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  HENRYK CHOLERAWIECKI  WOJSKA CZESKIEGO 43 BRNO 42332833152649376208665580,16,2594.00
2015-01-14,PRZELEW UZNANIOWY (NADANO 14-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 46221579105823282728287457,32,2562.00
2015-01-14,PRZELEW UZNANIOWY (NADANO 14-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  OKTAWIAN PROSTACKI  WOJSKA CZESKIEGO 43 BRNO 60385269960718034858497664,32,2530.00
2015-01-14,PRZELEW UZNANIOWY (NADANO 14-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 33736726083936869283685568,32,2498.00
2015-01-14,PRZELEW UZNANIOWY (NADANO 14-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 93265818915671465680396133,64,2434.00
2015-01-15,PRZELEW OBCI¥¯ENIOWY (NADANO 15-01-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 53173866518323457535083672,-952,3386.00
2015-01-15,PRZELEW UZNANIOWY (NADANO 15-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 98654860485672413027163141,128,3258.00
2015-01-16,PRZELEW UZNANIOWY (NADANO 16-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 55846127026747046298468515,128,3130.00
2015-01-17,PRZELEW UZNANIOWY (NADANO 17-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  DAWID RYBSKI  WOJSKA CZESKIEGO 43 BRNO 11139537975769841784552943,16,3114.00
2015-01-17,PRZELEW UZNANIOWY (NADANO 17-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  £UKASZ STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 05001251858112667479444265,128,2986.00
2015-01-18,PRZELEW UZNANIOWY (NADANO 18-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW OWCZAREK  WOJSKA CZESKIEGO 43 BRNO 69149432883626974140369113,64,2922.00
2015-01-20,PRZELEW OBCI¥¯ENIOWY (NADANO 20-01-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 12128059635043085408276040,-476,3398.00
2015-01-22,PRZELEW UZNANIOWY (NADANO 22-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 27643769581031022706885264,32,3366.00
2015-01-22,PRZELEW UZNANIOWY (NADANO 22-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 68195784522531269437513301,64,3302.00
2015-01-22,PRZELEW UZNANIOWY (NADANO 22-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  PAWE£ NOWAK  WOJSKA CZESKIEGO 43 BRNO 74556566511352677103179412,64,3238.00
2015-01-24,PRZELEW UZNANIOWY (NADANO 24-01-2015) DAROWIZNA  DAWID MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 20939336532289237433267487,797,2441.00
2015-01-25,PRZELEW UZNANIOWY (NADANO 25-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK OWCZAREK  WOJSKA CZESKIEGO 43 BRNO 76277755546656019662844628,128,2313.00
2015-01-25,PRZELEW UZNANIOWY (NADANO 25-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW STAROWSKI  WOJSKA CZESKIEGO 43 BRNO 11804464664353830251033335,128,2185.00
2015-01-26,PRZELEW UZNANIOWY (NADANO 26-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 21861889008630314533200996,32,2153.00
2015-01-27,PRZELEW OBCI¥¯ENIOWY (NADANO 27-01-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 03082753517049259363868175,-454,2607.00
2015-01-27,PRZELEW OBCI¥¯ENIOWY (NADANO 27-01-2015) COS DO PLACENIA  LOKAL  WOJSKA CZESKIEGO 43 BRNO 25607166700892136608535797,-578,3185.00
2015-01-27,PRZELEW UZNANIOWY (NADANO 27-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MICHA£ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 68377479839981399900745651,32,3153.00
2015-01-27,PRZELEW OBCI¥¯ENIOWY (NADANO 27-01-2015) COS DO PLACENIA  TAURON  WOJSKA CZESKIEGO 43 BRNO 56885225062176610438757427,-603,3756.00
2015-01-27,PRZELEW UZNANIOWY (NADANO 27-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  BARTUŒ NOWAK  WOJSKA CZESKIEGO 43 BRNO 45848550185064670454413652,32,3724.00
2015-01-27,PRZELEW OBCI¥¯ENIOWY (NADANO 27-01-2015) COS DO PLACENIA  UPC  WOJSKA CZESKIEGO 43 BRNO 53255639841763546081817311,-825,4549.00
2015-01-27,PRZELEW UZNANIOWY (NADANO 27-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  OKTAWIAN RYBSKI  WOJSKA CZESKIEGO 43 BRNO 49614355494318721186165121,32,4517.00
2015-01-27,PRZELEW UZNANIOWY (NADANO 27-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  BARTUŒ TESTOWSKI  WOJSKA CZESKIEGO 43 BRNO 91383707225108705816458263,16,4501.00
2015-01-27,PRZELEW UZNANIOWY (NADANO 27-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  £UKASZ NOWAK  WOJSKA CZESKIEGO 43 BRNO 82949072157377951345417176,32,4469.00
2015-01-28,PRZELEW UZNANIOWY (NADANO 28-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  DAWID NOWAK  WOJSKA CZESKIEGO 43 BRNO 36237890868191093878382465,128,4341.00
2015-01-29,PRZELEW UZNANIOWY (NADANO 29-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MICHA£ WARSZAWSKI  WOJSKA CZESKIEGO 43 BRNO 40975218652739486297540791,64,4277.00
2015-01-30,PRZELEW UZNANIOWY (NADANO 30-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  STANIS£AW CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 29764054930714297237273945,128,4149.00
2015-01-30,PRZELEW UZNANIOWY (NADANO 30-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  PAWE£ KOWALSKI  WOJSKA CZESKIEGO 43 BRNO 70767207794087724523506554,16,4133.00
2015-01-30,PRZELEW UZNANIOWY (NADANO 30-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MICHA£ CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 06669322915359954266702247,16,4117.00
2015-01-31,PRZELEW UZNANIOWY (NADANO 31-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  MAREK CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 65769442693090899866994911,128,3989.00
2015-01-31,PRZELEW UZNANIOWY (NADANO 31-01-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 01-2015  PAWE£ NOWAK  WOJSKA CZESKIEGO 43 BRNO 08165713936407644119202021,128,3861.00
2015-02-01,PRZELEW UZNANIOWY (NADANO 01-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MAREK CZARNOWSKI  WOJSKA CZESKIEGO 43 BRNO 32509661896796270397581879,64,3797.00
2015-02-02,PRZELEW UZNANIOWY (NADANO 02-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  DAWID MARKOWSKI  WOJSKA CZESKIEGO 43 BRNO 13506551117950285046373434,128,3669.00
2015-02-03,PRZELEW UZNANIOWY (NADANO 03-02-2015) SK£ADKA CZ£ONKOWSKA ZA MIESI¥C 02-2015  MAREK NOWAK  WOJSKA CZESKIEGO 43 BRNO 31754961020161315819910179,16,3653.00
